target,gr_code,model,global_rmsd,lddt,tm_score,gdt_ts,clashscore,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base,id
R1136,434,1,34.85,0.550667219,0.2734,10.294,0.08,0.0634,-0.258,0.021835369,0.347147119,0.25516723,0.244206774,0.297854077,950
R1136,434,2,47.49,0.561858506,0.2322,9.826,0.33,0.0682,-0.3312,0.014840316,0.303638636,0.182011775,0.165552585,0.203147353,951
R1136,434,3,42.41,0.551940393,0.1826,9.358,0.08,0.0696,-0.3377,0.011854901,0.200379722,0.192158336,0.189616756,0.195422031,952
R1136,434,4,40.62,0.559267073,0.2175,10.428,0.5,0.0535,-0.339,0.011424652,0.176664955,0.171865214,0.154634581,0.204577969,953
R1136,434,5,45.53,0.562441378,0.214,9.759,0.25,0.059,-0.3214,0.015474922,0.259830022,0.222472755,0.186720143,0.268383405,954
R1136,439,1,46.19,0.553164382,0.2189,11.832,29.47,0.0526,-0.2277,0.02015536,0.358107921,0.282725792,0.262032086,0.309298999,955
R1136,439,2,51.13,0.554919041,0.2194,12.166,31.55,0.0763,-0.2282,0.022082338,0.330020455,0.287110109,0.274064171,0.303862661,956
R1136,439,3,42.71,0.533933679,0.2552,12.5,39.96,0.0505,-0.2634,0.018034468,0.267672095,0.246899662,0.239973262,0.255793991,957
R1136,439,4,41.96,0.563791779,0.2242,9.693,5.24,0.0679,-0.3063,0.013700488,0.282702589,0.205311286,0.192959002,0.221173104,958
R1136,439,5,46,0.55810068,0.2425,11.364,20.48,0.0471,-0.2788,0.02217552,0.314065663,0.244519604,0.2364082,0.254935622,959
R1136,444,1,33.43,0.571308508,0.2374,11.23,3.41,0.0435,-0.2817,0.017227965,0.202356311,0.236627834,0.22214795,0.255221745,960
R1136,444,2,50.39,0.345339175,0.1712,5.548,7.74,0.0247,-0.3342,0.016308667,0.201168845,0.170612552,0.173796791,0.166523605,961
R1136,444,3,43.02,0.420460301,0.2033,8.289,340.26,0.0882,-0.3035,0.015792926,0.433540851,0.254666166,0.237076649,0.277253219,962
R1136,444,4,46.51,0.525956606,0.2284,10.561,62.81,0.061,-0.2423,0.019915374,0.401401628,0.280596267,0.264483066,0.319599428,963
R1136,444,5,42.77,0.337254026,0.1837,5.949,10.57,0.0469,-0.2413,0.023840094,0.370900787,0.26669172,0.268716578,0.264091559,964
R1136,456,1,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,965
R1136,456,2,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,966
R1136,456,3,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,967
R1136,456,4,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,968
R1136,456,5,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,969
R1136,470,1,43.02,0.420460301,0.2033,8.289,340.26,0.0882,-0.3035,0.015792926,0.433540851,0.254666166,0.237076649,0.277253219,970
R1136,470,2,41.36,0.390593357,0.1994,6.818,383.26,0.0893,-0.2711,0.015737837,0.409353205,0.288613303,0.282531194,0.296423462,971
R1136,470,3,39.29,0.415453894,0.2046,7.42,298.63,0.0763,-0.3111,0.01447884,0.423914506,0.237379431,0.23573975,0.239484979,972
R1136,470,4,41.21,0.411194954,0.1978,7.487,315.66,0.0791,-0.2512,0.021185996,0.492326611,0.306401102,0.284090909,0.335050072,973
R1136,470,5,40.94,0.366231561,0.1654,6.35,365.43,0.1044,-0.2553,0.018322672,0.472268837,0.288488037,0.269385027,0.313018598,974
R1136,489,1,43.02,0.420460301,0.2033,8.289,340.26,0.0882,-0.3035,0.015792926,0.433540851,0.254666166,0.237076649,0.277253219,975
R1136,489,2,41.36,0.390593357,0.1994,6.818,383.26,0.0893,-0.2711,0.015737837,0.409353205,0.288613303,0.282531194,0.296423462,976
R1136,489,3,39.29,0.415453894,0.2046,7.42,298.63,0.0763,-0.3111,0.01447884,0.423914506,0.237379431,0.23573975,0.239484979,977
